CAT,,,,
Sample,Run1,Run2,,Ct Ave
TN,20.4380455,20.58208847,,20.51006699
TN,21.50814438,21.4218502,,21.46499729
TN,21.44774055,21.31553078,,21.38163567
TN,21.43494415,21.26719284,,21.3510685
TN,19.29889679,19.14078712,,19.21984196
TN,20.39288712,20.15996933,,20.27642822
HS,21.9475441,21.33390236,,21.64072323
HS,20.75982285,20.63344383,,20.69663334
HS,21.37731934,21.37548637,,21.37640285
HS,21.73206711,21.23508453,,21.48357582
HS,20.83085442,21.46142578,,21.1461401
HS,22.07985115,22.01337242,,22.04661179
HSAX,20.6523037,20.63469696,,20.64350033
HSAX,21.80881691,21.94393158,,21.87637424
HSAX,21.78280258,21.68540955,,21.73410606
HSAX,21.62614632,21.6016922,,21.61391926
HSAX,24.63250923,24.62226295,,24.62738609
HSAX,23.23825836,23.16857147,,23.20341492
