CLAUD1,,,,
Sample,run1,run2,,Ct AVE
TN,27.95682907,27.57050896,,27.76366901
TN,28.66317177,27.83260536,,28.24788857
TN,28.18889046,28.86776924,,28.52832985
TN,28.95923233,29.50686836,,29.23305035
TN,27.51617241,28.56324768,,28.03971004
TN,27.22526932,28.08204651,,27.65365791
HS,29.1692276,28.81863213,,28.99392986
HS,28.0919342,27.95944214,,28.02568817
HS,29.78185081,28.98588371,,29.38386726
HS,29.87502861,28.92116547,,29.39809704
HS,28.66448021,28.9539547,,28.80921745
HS,28.9910984,29.55337334,,29.27223587
HSAX,28.2128067,28.8201313,,28.516469
HSAX,29.2569809,28.95375061,,29.10536575
HSAX,27.9138031,28.94266891,,28.42823601
HSAX,29.14791679,29.05797577,,29.10294628
HSAX,31.153862,31.37490845,,31.26438522
HSAX,28.75937462,29.24145699,,29.0004158
