GSTT1,,,,
Sample,Run1,Run2,,Ct AVE
TN,31.52466393,29.65555191,,30.59010792
TN,30.10577965,28.07504082,,29.09041023
TN,28.58177376,26.70525932,,27.64351654
TN,29.89696884,28.1074543,,29.00221157
TN,27.35074234,26.20121765,,26.77598
TN,27.59430695,26.00534248,,26.79982471
HS,31.52336121,29.51080322,,30.51708221
HS,30.21555138,28.41180038,,29.31367588
HS,29.31592941,27.5004921,,28.40821075
HS,30.97402,28.98067474,,29.97734737
HS,26.88440704,25.12018204,,26.00229454
HS,30.82842636,28.77171707,,29.80007172
HSAX,27.12128448,25.41520882,,26.26824665
HSAX,32.03005981,29.97307014,,31.00156498
HSAX,33.60150909,32.19802856,,32.89976883
HSAX,31.52211952,29.4802742,,30.50119686
HSAX,36.69606018,34.08411789,,35.39008904
HSAX,31.20945168,29.30864334,,30.25904751
