HIFA,,,,
Sample,Run1,Run2,,Ct AVE
TN,24.35241699,24.75145912,,24.55193806
TN,24.95107079,25.44557762,,25.19832421
TN,24.73765755,25.19592667,,24.96679211
TN,25.49836731,25.88068771,,25.68952751
TN,24.86201859,25.26026726,,25.06114292
TN,24.70152473,25.03856277,,24.87004375
HS,24.82136154,25.22360229,,25.02248192
HS,24.37799072,24.81700134,,24.59749603
HS,24.95886803,25.50311279,,25.23099041
HS,25.07280731,25.46305656,,25.26793194
HS,25.58986855,26.05983543,,25.82485199
HS,25.37376785,25.54864693,,25.46120739
HSAX,25.848423,26.1093998,,25.9789114
HSAX,26.22652817,26.15308952,,26.18980885
HSAX,26.18115997,26.45867729,,26.31991863
HSAX,26.62261581,26.67957115,,26.65109348
HSAX,27.65794373,27.98913383,,27.82353878
HSAX,27.10881805,26.9450779,,27.02694797
