LOX,,,,
Sample,Run1,Run2,,Ct AVE
TN,25.88726616,24.98370552,,25.43548584
TN,26.26003456,25.49518394,,25.87760925
TN,26.40789604,25.82190514,,26.11490059
TN,28.16109657,27.33613586,,27.74861622
TN,26.12219429,25.42365265,,25.77292347
TN,26.88586998,25.87377167,,26.37982082
HS,25.24669647,24.49014091,,24.86841869
HS,24.82824707,24.05236435,,24.44030571
HS,27.28676987,27.95955276,,27.62316132
HS,25.95588112,25.15266991,,25.55427551
HS,26.95420265,26.18640518,,26.57030392
HS,25.96516991,25.1700592,,25.56761456
HSAX,25.84754562,24.93311119,,25.39032841
HSAX,25.93894577,24.97395706,,25.45645142
HSAX,26.79046822,25.96623802,,26.37835312
HSAX,27.37047195,26.12871933,,26.74959564
HSAX,28.1944809,27.46945572,,27.83196831
HSAX,27.08280373,26.41470528,,26.7487545
