MUCN2,,,,
Sample,run1,run2,,Ct Ave
TN,20.9908371,17.67929649,,19.3350668
TN,20.09630966,18.24860001,,19.17245483
TN,18.96011543,18.03674698,,18.49843121
TN,21.40489006,19.97372246,,20.68930626
TN,20.37956429,19.76034546,,20.06995487
TN,19.45240784,18.43440056,,18.9434042
HS,22.88287163,20.64093208,,21.76190186
HS,20.33652115,18.68017578,,19.50834846
HS,23.19562149,20.82459641,,22.01010895
HS,22.46852303,20.4039135,,21.43621826
HS,21.45537186,19.31225204,,20.38381195
HS,21.29525566,18.95658684,,20.12592125
HSAX,20.21191025,18.47561646,,19.34376335
HSAX,20.6943264,17.90579224,,19.30005932
HSAX,20.60136795,18.70335388,,19.65236092
HSAX,21.18457603,19.94950104,,20.56703854
HSAX,23.85486984,22.32140541,,23.08813763
HSAX,21.78400612,20.30587196,,21.04493904
