MYB,,,,
Sample,Run1,Run2,,Ct AVE
TN,27.32327271,27.25208092,,27.28767681
TN,27.94061661,27.77723885,,27.85892773
TN,28.02116966,27.97901344,,28.00009155
TN,28.56653976,28.54073715,,28.55363846
TN,27.15209579,26.98791695,,27.07000637
TN,27.29168892,27.17522812,,27.23345852
HS,26.92687607,26.79742241,,26.86214924
HS,26.40162849,26.40307808,,26.40235329
HS,28.94799423,28.78827858,,28.86813641
HS,26.9466114,26.73569298,,26.84115219
HS,29.64817429,29.1484642,,29.39831924
HS,26.89420509,26.70187759,,26.79804134
HSAX,27.45121002,27.28892136,,27.37006569
HSAX,27.58119011,27.46329308,,27.52224159
HSAX,28.98557472,27.47533417,,28.23045444
HSAX,28.38754845,28.38853836,,28.3880434
HSAX,30.19952393,29.71766663,,29.95859528
HSAX,28.86415863,28.61499214,,28.73957539
