OCLN,,,,,,,
Sample,run 1,run 2,run 3,run 4,run 5,,Ct Ave
TN,19.15013313,23.04232407,18.24392891,18.69703102,20.14546204,,18.47047997
TN,19.98604012,23.13068581,19.3456459,19.66584301,20.82079061,,19.50574446
TN,20.4161911,24.72540855,19.77433395,20.09526253,21.63864454,,19.93479824
TN,20.30129242,24.22212219,19.58452797,19.94291019,21.36931419,,19.76371908
TN,18.36387253,22.11690331,17.69184303,18.02785778,19.39087296,,17.85985041
TN,18.5918045,22.70669937,17.95680618,18.27430534,19.75177002,,18.11555576
HS,20.40162086,25.09101868,20.44068527,20.42115307,21.97777494,,20.43091917
HS,19.86065102,24.06881142,18.77724457,19.31894779,20.90223567,,19.04809618
HS,20.26501083,25.56742477,18.91913223,19.59207153,21.58385595,,19.25560188
HS,20.02474785,25.06675339,18.79917717,19.41196251,21.2968928,,19.10556984
HS,18.59435463,24.33511543,19.19888878,18.8966217,20.70945295,,19.04775524
HS,19.69782066,24.06249809,18.94722748,19.32252407,20.90251541,,19.13487577
HSAX,19.96203423,24.16129875,19.88371468,19.92287445,21.33568255,,19.90329456
HSAX,20.15006638,23.93844223,18.89860725,19.52433681,20.99570529,,19.21147203
HSAX,20.1657486,23.28337669,18.55286789,19.35930824,20.66733106,,18.95608807
HSAX,19.77219772,23.96647835,18.99072647,19.3814621,20.90980085,,19.18609428
HSAX,22.195858,26.53460693,21.61816978,21.90701389,23.44954491,,21.76259184
HSAX,21.69317436,25.03173447,20.45621681,21.07469559,22.39370855,,20.7654562
