PRDX,,,,
Sample,Run1,Run2,,Ct AVE
TN,22.37233925,22.18464661,,22.27849293
TN,22.82940483,22.84011269,,22.83475876
TN,23.25418663,23.29577446,,23.27498055
TN,23.67567253,23.52322197,,23.59944725
TN,21.90104485,21.62141609,,21.76123047
TN,20.98562431,20.83415604,,20.90989017
HS,24.06861115,23.97172356,,24.02016735
HS,22.73500252,22.6519165,,22.69345951
HS,23.94820595,23.62177467,,23.78499031
HS,23.55584335,23.39614677,,23.47599506
HS,24.33030319,23.89842987,,24.11436653
HS,22.86660194,22.91005135,,22.88832664
HSAX,22.30285645,22.11586571,,22.20936108
HSAX,23.14419174,23.65033913,,23.39726543
HSAX,22.34941483,22.2631855,,22.30630016
HSAX,23.00760651,23.03214073,,23.01987362
HSAX,26.48267365,26.46342659,,26.47305012
HSAX,25.45166206,24.60171509,,25.02668858
