SOD2,,,,
Sample,Run1,Run2,,Ct Ave
TN,23.18242264,23.11086464,,23.14664364
TN,23.50622368,23.84450722,,23.67536545
TN,23.53600121,23.83449745,,23.68524933
TN,24.02679443,24.22365761,,24.12522602
TN,23.00871277,23.47720146,,23.24295712
TN,22.40449715,22.62471771,,22.51460743
HS,24.14670753,24.42993355,,24.28832054
HS,23.54277611,23.91653061,,23.72965336
HS,24.61193466,24.78617096,,24.69905281
HS,24.53172112,24.40511513,,24.46841812
HS,24.92917442,24.91371918,,24.9214468
HS,23.65383148,23.99380112,,23.8238163
HSAX,23.32637978,23.91097069,,23.61867523
HSAX,23.92617989,24.16549683,,24.04583836
HSAX,24.00138855,24.26058197,,24.13098526
HSAX,24.68997765,24.4834671,,24.58672237
HSAX,26.13492584,26.39857292,,26.26674938
HSAX,24.63238907,24.59565163,,24.61402035
